ID            CEU     YRI
NWD163203     0.0     1.0
NWD838454     0.0     1.0
NWD447217  0.1631  0.8369
NWD506902  0.3075  0.6925
NWD516805  0.0538  0.9462
NWD598769  0.1471  0.8529
NWD276731  0.0203  0.9797
NWD857305  0.1105  0.8895
NWD573145  0.3766  0.6234
NWD378807  0.1772  0.8228
NWD773408  0.1325  0.8675
NWD862131  0.5213  0.4787
NWD696182  0.0109  0.9891
NWD601219  0.4488  0.5512
NWD445484  0.1724  0.8276
NWD245122  0.1902  0.8098
NWD574025  0.4951  0.5049
NWD962792  0.0802  0.9198
NWD140824   0.074   0.926
NWD347140  0.7182  0.2818
NWD388542  0.3669  0.6331
NWD409874  0.1511  0.8489
NWD641240  0.5165  0.4835
NWD620567  0.7409  0.2591
NWD754070  0.0374  0.9626
NWD338378     0.0     1.0
NWD660071  0.2939  0.7061
NWD452926  0.3544  0.6456
NWD233967  0.7364  0.2636
NWD878543  0.2206  0.7794
...           ...     ...
NWD907433  0.0218  0.9782
NWD712032  0.1926  0.8074
NWD677776  0.1407  0.8593
NWD599306  0.1726  0.8274
NWD684484     0.0     1.0
NWD826684     0.0     1.0
NWD428381  0.3456  0.6544
NWD174966  0.1389  0.8611
NWD938526  0.2471  0.7529
NWD328083  0.1576  0.8424
NWD318497   0.361   0.639
NWD731252  0.1238  0.8762
NWD412116  0.2346  0.7654
NWD640560  0.6329  0.3671
NWD639242  0.1999  0.8001
NWD599371  0.0669  0.9331
NWD720391   0.265   0.735
NWD431959  0.5389  0.4611
NWD584394     0.0     1.0
NWD344310   0.017   0.983
NWD517673   0.121   0.879
NWD527323  0.2732  0.7268
NWD418773  0.6142  0.3858
NWD857221  0.1236  0.8764
NWD836765  0.0024  0.9976
NWD396724  0.0158  0.9842
NWD125656  0.0047  0.9953
NWD912070  0.2863  0.7137
NWD597815  0.0574  0.9426
NWD512818  0.4031  0.5969

[201 rows x 2 columns]
