ID            CEU     YRI
NWD163203  0.0029  0.9971
NWD838454  0.0118  0.9882
NWD447217  0.2234  0.7766
NWD506902  0.3753  0.6247
NWD516805  0.0685  0.9315
NWD598769  0.0434  0.9566
NWD276731  0.0875  0.9125
NWD857305  0.0305  0.9695
NWD573145  0.2187  0.7813
NWD378807  0.0875  0.9125
NWD773408   0.147   0.853
NWD862131  0.2318  0.7682
NWD696182  0.1117  0.8883
NWD601219  0.6148  0.3852
NWD445484  0.3543  0.6457
NWD245122  0.0945  0.9055
NWD574025  0.3243  0.6757
NWD962792  0.1447  0.8553
NWD140824  0.3759  0.6241
NWD347140  0.5588  0.4412
NWD388542  0.1686  0.8314
NWD409874  0.1197  0.8803
NWD641240  0.0631  0.9369
NWD620567  0.6683  0.3317
NWD754070  0.0263  0.9737
NWD338378  0.2539  0.7461
NWD660071  0.4136  0.5864
NWD452926   0.285   0.715
NWD233967  0.6585  0.3415
NWD878543  0.2162  0.7838
...           ...     ...
NWD907433  0.0823  0.9177
NWD712032  0.4239  0.5761
NWD677776  0.0745  0.9255
NWD599306  0.5705  0.4295
NWD684484     0.0     1.0
NWD826684  0.0789  0.9211
NWD428381  0.2504  0.7496
NWD174966  0.6091  0.3909
NWD938526  0.1107  0.8893
NWD328083  0.3933  0.6067
NWD318497  0.0728  0.9272
NWD731252  0.0014  0.9986
NWD412116  0.4386  0.5614
NWD640560  0.4059  0.5941
NWD639242  0.2877  0.7123
NWD599371     0.0     1.0
NWD720391  0.2154  0.7846
NWD431959  0.5686  0.4314
NWD584394     0.0     1.0
NWD344310     0.0     1.0
NWD517673   0.047   0.953
NWD527323  0.2488  0.7512
NWD418773  0.3803  0.6197
NWD857221  0.0446  0.9554
NWD836765     0.0     1.0
NWD396724   0.404   0.596
NWD125656  0.0448  0.9552
NWD912070   0.504   0.496
NWD597815  0.0018  0.9982
NWD512818  0.1791  0.8209

[201 rows x 2 columns]
ID            CEU     YRI
NWD163203     0.0     1.0
NWD838454  0.0592  0.9408
NWD447217  0.0072  0.9928
NWD506902  0.4138  0.5862
NWD516805   0.016   0.984
NWD598769   0.097   0.903
NWD276731  0.0103  0.9897
NWD857305  0.2578  0.7422
NWD573145  0.4285  0.5715
NWD378807  0.0742  0.9258
NWD773408  0.1683  0.8317
NWD862131  0.3756  0.6244
NWD696182  0.0261  0.9739
NWD601219  0.3391  0.6609
NWD445484  0.0545  0.9455
NWD245122  0.0124  0.9876
NWD574025  0.0871  0.9129
NWD962792  0.0031  0.9969
NWD140824  0.3069  0.6931
NWD347140  0.6429  0.3571
NWD388542  0.0939  0.9061
NWD409874  0.0266  0.9734
NWD641240  0.1116  0.8884
NWD620567     0.5     0.5
NWD754070  0.0611  0.9389
NWD338378  0.0033  0.9967
NWD660071  0.4183  0.5817
NWD452926  0.0177  0.9823
NWD233967  0.7727  0.2273
NWD878543  0.3006  0.6994
...           ...     ...
NWD907433  0.0038  0.9962
NWD712032  0.3979  0.6021
NWD677776  0.2505  0.7495
NWD599306  0.0849  0.9151
NWD684484  0.0235  0.9765
NWD826684  0.0516  0.9484
NWD428381  0.0882  0.9118
NWD174966  0.3829  0.6171
NWD938526  0.1247  0.8753
NWD328083  0.1783  0.8217
NWD318497   0.003   0.997
NWD731252  0.0138  0.9862
NWD412116  0.1954  0.8046
NWD640560  0.3735  0.6265
NWD639242  0.2283  0.7717
NWD599371  0.0726  0.9274
NWD720391     0.0     1.0
NWD431959   0.715   0.285
NWD584394     0.0     1.0
NWD344310  0.0048  0.9952
NWD517673  0.1909  0.8091
NWD527323  0.1808  0.8192
NWD418773  0.3459  0.6541
NWD857221  0.0906  0.9094
NWD836765  0.0103  0.9897
NWD396724     0.0     1.0
NWD125656  0.0938  0.9062
NWD912070  0.4131  0.5869
NWD597815  0.0365  0.9635
NWD512818  0.3282  0.6718

[201 rows x 2 columns]
ID            CEU     YRI
NWD163203  0.0074  0.9926
NWD838454     0.0     1.0
NWD447217  0.2187  0.7813
NWD506902  0.2883  0.7117
NWD516805  0.0522  0.9478
NWD598769     0.0     1.0
NWD276731  0.0387  0.9613
NWD857305  0.0233  0.9767
NWD573145  0.3404  0.6596
NWD378807   0.012   0.988
NWD773408  0.1253  0.8747
NWD862131    0.61    0.39
NWD696182  0.0714  0.9286
NWD601219  0.2734  0.7266
NWD445484  0.2172  0.7828
NWD245122  0.0177  0.9823
NWD574025    0.25    0.75
NWD962792  0.1322  0.8678
NWD140824  0.4594  0.5406
NWD347140  0.7447  0.2553
NWD388542  0.4029  0.5971
NWD409874  0.0896  0.9104
NWD641240  0.2236  0.7764
NWD620567  0.3629  0.6371
NWD754070  0.1034  0.8966
NWD338378  0.2121  0.7879
NWD660071  0.3422  0.6578
NWD452926  0.3065  0.6935
NWD233967  0.3971  0.6029
NWD878543  0.0931  0.9069
...           ...     ...
NWD907433  0.0954  0.9046
NWD712032   0.432   0.568
NWD677776  0.4501  0.5499
NWD599306  0.0039  0.9961
NWD684484     0.0     1.0
NWD826684  0.0862  0.9138
NWD428381  0.3836  0.6164
NWD174966   0.136   0.864
NWD938526  0.2335  0.7665
NWD328083  0.2535  0.7465
NWD318497  0.0718  0.9282
NWD731252  0.0067  0.9933
NWD412116  0.0311  0.9689
NWD640560  0.4518  0.5482
NWD639242  0.1227  0.8773
NWD599371   0.003   0.997
NWD720391  0.4102  0.5898
NWD431959  0.3651  0.6349
NWD584394     0.0     1.0
NWD344310     0.0     1.0
NWD517673  0.0324  0.9676
NWD527323  0.7825  0.2175
NWD418773  0.1015  0.8985
NWD857221  0.1246  0.8754
NWD836765   0.004   0.996
NWD396724   0.171   0.829
NWD125656  0.0074  0.9926
NWD912070  0.1018  0.8982
NWD597815  0.0754  0.9246
NWD512818   0.089   0.911

[201 rows x 2 columns]
ID            CEU     YRI
NWD163203  0.0333  0.9667
NWD838454     0.0     1.0
NWD447217   0.126   0.874
NWD506902  0.6487  0.3513
NWD516805  0.0945  0.9055
NWD598769  0.0114  0.9886
NWD276731  0.3493  0.6507
NWD857305  0.0498  0.9502
NWD573145  0.1488  0.8512
NWD378807  0.0921  0.9079
NWD773408  0.1373  0.8627
NWD862131  0.2141  0.7859
NWD696182  0.0232  0.9768
NWD601219  0.1086  0.8914
NWD445484  0.1551  0.8449
NWD245122     0.0     1.0
NWD574025  0.5182  0.4818
NWD962792  0.0317  0.9683
NWD140824  0.0431  0.9569
NWD347140  0.6003  0.3997
NWD388542  0.3832  0.6168
NWD409874  0.3267  0.6733
NWD641240  0.4916  0.5084
NWD620567  0.8443  0.1557
NWD754070  0.0014  0.9986
NWD338378  0.0244  0.9756
NWD660071  0.3778  0.6222
NWD452926  0.0817  0.9183
NWD233967  0.1936  0.8064
NWD878543  0.2032  0.7968
...           ...     ...
NWD907433  0.3634  0.6366
NWD712032  0.2286  0.7714
NWD677776  0.4485  0.5515
NWD599306   0.009   0.991
NWD684484  0.0133  0.9867
NWD826684  0.1267  0.8733
NWD428381   0.639   0.361
NWD174966  0.6087  0.3913
NWD938526  0.4141  0.5859
NWD328083  0.4447  0.5553
NWD318497  0.6646  0.3354
NWD731252  0.0099  0.9901
NWD412116  0.1404  0.8596
NWD640560  0.0407  0.9593
NWD639242  0.2345  0.7655
NWD599371  0.0338  0.9662
NWD720391  0.0137  0.9863
NWD431959  0.5091  0.4909
NWD584394     0.0     1.0
NWD344310  0.0085  0.9915
NWD517673  0.0012  0.9988
NWD527323  0.3413  0.6587
NWD418773  0.1524  0.8476
NWD857221  0.0391  0.9609
NWD836765     0.0     1.0
NWD396724  0.2665  0.7335
NWD125656     0.0     1.0
NWD912070  0.4061  0.5939
NWD597815  0.0613  0.9387
NWD512818  0.3573  0.6427

[201 rows x 2 columns]
ID            CEU     YRI
NWD163203  0.1439  0.8561
NWD838454  0.0012  0.9988
NWD447217  0.1669  0.8331
NWD506902  0.3072  0.6928
NWD516805  0.1839  0.8161
NWD598769  0.1048  0.8952
NWD276731  0.6025  0.3975
NWD857305  0.0569  0.9431
NWD573145  0.3378  0.6622
NWD378807  0.0256  0.9744
NWD773408  0.2476  0.7524
NWD862131  0.1223  0.8777
NWD696182  0.0725  0.9275
NWD601219  0.0893  0.9107
NWD445484  0.3058  0.6942
NWD245122   0.003   0.997
NWD574025  0.3712  0.6288
NWD962792  0.1908  0.8092
NWD140824  0.1848  0.8152
NWD347140  0.4848  0.5152
NWD388542  0.3748  0.6252
NWD409874  0.0696  0.9304
NWD641240  0.3456  0.6544
NWD620567  0.5008  0.4992
NWD754070  0.0144  0.9856
NWD338378  0.0736  0.9264
NWD660071  0.3934  0.6066
NWD452926  0.1157  0.8843
NWD233967    0.77    0.23
NWD878543  0.1776  0.8224
...           ...     ...
NWD907433  0.4093  0.5907
NWD712032  0.2893  0.7107
NWD677776  0.1813  0.8187
NWD599306  0.0032  0.9968
NWD684484     0.0     1.0
NWD826684     0.0     1.0
NWD428381  0.2547  0.7453
NWD174966  0.3665  0.6335
NWD938526  0.4697  0.5303
NWD328083  0.2655  0.7345
NWD318497  0.4906  0.5094
NWD731252  0.1178  0.8822
NWD412116  0.5086  0.4914
NWD640560  0.2929  0.7071
NWD639242   0.334   0.666
NWD599371  0.0015  0.9985
NWD720391  0.2153  0.7847
NWD431959  0.5141  0.4859
NWD584394     0.0     1.0
NWD344310  0.0338  0.9662
NWD517673  0.0676  0.9324
NWD527323  0.5466  0.4534
NWD418773  0.3312  0.6688
NWD857221  0.0713  0.9287
NWD836765     0.0     1.0
NWD396724  0.0484  0.9516
NWD125656  0.0007  0.9993
NWD912070  0.1724  0.8276
NWD597815  0.0311  0.9689
NWD512818  0.2303  0.7697

[201 rows x 2 columns]
ID            CEU     YRI
NWD163203  0.0479  0.9521
NWD838454  0.0632  0.9368
NWD447217  0.0777  0.9223
NWD506902   0.348   0.652
NWD516805  0.0827  0.9173
NWD598769  0.1091  0.8909
NWD276731  0.0534  0.9466
NWD857305     0.1     0.9
NWD573145  0.5804  0.4196
NWD378807  0.0961  0.9039
NWD773408   0.312   0.688
NWD862131  0.2855  0.7145
NWD696182  0.0818  0.9182
NWD601219   0.201   0.799
NWD445484  0.3762  0.6238
NWD245122  0.0556  0.9444
NWD574025  0.0787  0.9213
NWD962792  0.1209  0.8791
NWD140824  0.4841  0.5159
NWD347140  0.6956  0.3044
NWD388542  0.4397  0.5603
NWD409874  0.3466  0.6534
NWD641240  0.3859  0.6141
NWD620567  0.4181  0.5819
NWD754070  0.0171  0.9829
NWD338378  0.0006  0.9994
NWD660071  0.2266  0.7734
NWD452926  0.2938  0.7062
NWD233967  0.5973  0.4027
NWD878543  0.0272  0.9728
...           ...     ...
NWD907433  0.1194  0.8806
NWD712032  0.2392  0.7608
NWD677776  0.4695  0.5305
NWD599306  0.1279  0.8721
NWD684484     0.0     1.0
NWD826684  0.0469  0.9531
NWD428381   0.292   0.708
NWD174966  0.3242  0.6758
NWD938526  0.0344  0.9656
NWD328083  0.1485  0.8515
NWD318497  0.0783  0.9217
NWD731252  0.0693  0.9307
NWD412116  0.1297  0.8703
NWD640560  0.3866  0.6134
NWD639242  0.1977  0.8023
NWD599371  0.0319  0.9681
NWD720391  0.0178  0.9822
NWD431959  0.6624  0.3376
NWD584394     0.0     1.0
NWD344310  0.0788  0.9212
NWD517673  0.2543  0.7457
NWD527323  0.3109  0.6891
NWD418773  0.1616  0.8384
NWD857221  0.0576  0.9424
NWD836765     0.0     1.0
NWD396724   0.404   0.596
NWD125656  0.1738  0.8262
NWD912070  0.4516  0.5484
NWD597815  0.0715  0.9285
NWD512818  0.2354  0.7646

[201 rows x 2 columns]
ID            CEU     YRI
NWD163203  0.0085  0.9915
NWD838454     0.0     1.0
NWD447217   0.034   0.966
NWD506902  0.2809  0.7191
NWD516805  0.2195  0.7805
NWD598769  0.0666  0.9334
NWD276731  0.1757  0.8243
NWD857305  0.1004  0.8996
NWD573145  0.4983  0.5017
NWD378807  0.1609  0.8391
NWD773408  0.0487  0.9513
NWD862131  0.3534  0.6466
NWD696182  0.0365  0.9635
NWD601219  0.1316  0.8684
NWD445484  0.2899  0.7101
NWD245122     0.0     1.0
NWD574025  0.3552  0.6448
NWD962792  0.0489  0.9511
NWD140824  0.1284  0.8716
NWD347140  0.5198  0.4802
NWD388542  0.1788  0.8212
NWD409874  0.0182  0.9818
NWD641240  0.0258  0.9742
NWD620567  0.6317  0.3683
NWD754070     0.0     1.0
NWD338378  0.0415  0.9585
NWD660071  0.0972  0.9028
NWD452926     0.0     1.0
NWD233967  0.4674  0.5326
NWD878543  0.4643  0.5357
...           ...     ...
NWD907433  0.0162  0.9838
NWD712032  0.2753  0.7247
NWD677776  0.1034  0.8966
NWD599306  0.0041  0.9959
NWD684484  0.0028  0.9972
NWD826684   0.019   0.981
NWD428381   0.203   0.797
NWD174966  0.1796  0.8204
NWD938526  0.1528  0.8472
NWD328083   0.304   0.696
NWD318497  0.0781  0.9219
NWD731252  0.1478  0.8522
NWD412116  0.1388  0.8612
NWD640560   0.125   0.875
NWD639242   0.454   0.546
NWD599371  0.0064  0.9936
NWD720391  0.1342  0.8658
NWD431959  0.6236  0.3764
NWD584394     0.0     1.0
NWD344310     0.0     1.0
NWD517673  0.0115  0.9885
NWD527323     0.0     1.0
NWD418773  0.2309  0.7691
NWD857221  0.0956  0.9044
NWD836765     0.0     1.0
NWD396724  0.1522  0.8478
NWD125656  0.0309  0.9691
NWD912070  0.3728  0.6272
NWD597815  0.0494  0.9506
NWD512818  0.0356  0.9644

[201 rows x 2 columns]
ID            CEU     YRI
NWD163203  0.0154  0.9846
NWD838454     0.0     1.0
NWD447217  0.0111  0.9889
NWD506902  0.6487  0.3513
NWD516805  0.0231  0.9769
NWD598769   0.112   0.888
NWD276731  0.1003  0.8997
NWD857305  0.0811  0.9189
NWD573145  0.2929  0.7071
NWD378807  0.1519  0.8481
